name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Brace Now,spiritual,0,Leadership,Formation,Anima,Leadership,,2,,,any,"protection, support, mobility",,Target,Self or one willing ally within 2 units.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce that Damage by 1.,1,Reduce forced movement from that Action by 1 unit.,2,The target may move 1 unit toward you after the Action; self may move freely.,,,
Keep Your Eyes Up,spiritual,0,Leadership,Order,Presence,Leadership,,2,,,any,"protection, support, setup",,Target,Self or one willing ally within 3 units.,Effect,"Trigger: An attack targets the creature from a source you detect, before rolling. Response (unopposed): Grant +1 to its targeted Defense against that attack.",1,Reveal the attacker's occupied space to the protected target.,2,The target becomes Rallied until the start of your next turn if the attack misses.,,,
Change the Approach,spiritual,1,Leadership,Order,Adaptability,Leadership,,2,1,"Tactics, Coordination",any,"mobility, protection, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An enemy ends voluntary movement adjacent to the target. Response (unopposed): Move the target 1 unit along a clear path without triggering that enemy's movement Reactions.,1,Increase movement by 1 unit.,2,The target gains +1 Fortitude against that enemy until the start of your next turn.,,,
Close the Ranks,spiritual,1,Leadership,Formation,Anima,Leadership,,2,1,"Guardianship, Discipline",any,"protection, support, mobility",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction would push or pull the target. Response (unopposed): Reduce that movement by 2 units and grant +1 Fortitude against the triggering Action.,1,The target may move 1 unit toward another willing creature after the Action.,2,Reduce the Action's Damage to the target by 1.,,,
Rally Through the Breach,spiritual,1,Leadership,Standard,Presence,Leadership,,2,1,"Inspiration, Tactics",any,"setup, support, suppression",,Target,Self or one willing ally within 3 units of you and 1 unit of your rally point.,Effect,Trigger: An enemy Action misses that creature. Response (unopposed): Make it Rallied until the start of your next turn; it may move 1 unit toward the rally point.,1,Increase movement by 1 unit.,2,Suppress one ordinary morale-based Success Die penalty on the target until the start of your next turn.,,,
Not While I Stand,spiritual,1,Leadership,Vow,Anima,Leadership,,2,1,"Guardianship, Valor",any,"protection, support, suppression",,Target,Self or an adjacent willing ally.,Effect,"Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce it by 1; if protecting an ally, you may take any remaining Damage in its place.",1,Resist 1 unit of forced movement from the triggering Action.,2,Suppress one Light Wound Condition's numerical penalties on yourself until the start of your next turn.,,,
Let Them See You Answer,spiritual,1,Leadership,Example,Presence,Leadership,Fortitude,2,1,"Provocation, Inspiration",any,"damage, support, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy misses you or an adjacent ally with an Action. Response: On success, deal 1 weapon Damage.",1,"After a hit, yourself or the missed ally may move 1 unit toward the target.",2,Make yourself or the missed ally Rallied until the start of your next turn.,,,
The Line Moves With Us,spiritual,2,Leadership,Formation,Adaptability,Leadership,,3,2,"Coordination, Guardianship",any,"protection, mobility, support",,Target,"Self and one willing ally within 2 units, or self alone.",Effect,Trigger: An area Action is declared including at least one target. Response (unopposed): Each target moves 1 unit; recheck the area afterward.,1,One target moves 1 additional unit.,2,Each target still in the area reduces that Action's Damage by 1.,,,
"No Panic, Just Orders",spiritual,2,Leadership,Order,Anima,Leadership,,3,2,"Discipline, Tactics",any,"protection, suppression, support",,Target,Self or one willing ally within 4 units.,Effect,Trigger: An Action or Reaction imposes an ordinary mental or morale Condition on the target. Response (unopposed): Suppress that Condition until the start of your next turn; the target gains +1 Composure for that duration.,1,The target may move 1 unit toward you; self moves freely.,2,The target reduces its next incoming Damage by 1 until the start of your next turn.,,,
The Promise Holds,spiritual,2,Leadership,Vow,Anima,Leadership,,3,2,"Valor, Inspiration",any,"protection, suppression, support",,Target,Self or one willing ally within 3 units.,Effect,"Trigger: An Action or Reaction would cause Damage to the target while it has at least one Core Wound. Response (unopposed): Reduce the Damage by 2, without changing existing Wounds.",1,The target becomes Rallied until the start of your next turn.,2,Suppress one non-Critical Wound Condition's numerical penalties on the target until the start of your next turn.,,,
Return the Challenge,spiritual,2,Leadership,Example,Presence,Leadership,Fortitude,3,2,"Provocation, Valor",any,"damage, support, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy deals Damage to you with a melee Action. Response: After its Damage, on success deal 2 weapon Damage.",1,"On a hit, push the enemy 1 unit away from an adjacent ally, or from yourself.",2,Make yourself or one willing ally within 3 units Rallied until the start of your next turn.,,,
The Palm Against the Omen,spiritual,0,Ritualism,Ward,Anima,Ritualism,,2,,,any,"protection, suppression, support",,Target,Self or one willing ally within 2 units.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce it by 1.,1,The target also resists 1 unit of forced movement from that Action.,2,Suppress one ordinary Condition imposed by that Action until the start of your next turn.,,,
The Needle Returns,spiritual,0,Ritualism,Hex,Adaptability,Ritualism,Harmony,2,,,any,"damage, debuff, counterattack",,Target,One enemy within 4 units.,Effect,"Trigger: The enemy misses you with an Action. Response: On success, deal 1 Necrotic Damage.",1,"On a hit, the target is Slowed 1 until the start of your next turn.",2,"On a hit, suppress 1 point of its ordinary accuracy bonuses until the start of your next turn.",,,
The Uncrossed Circle,spiritual,1,Ritualism,Ward,Anima,Ritualism,,2,1,"Consecration, Inscription",any,"protection, support",,Target,Self or one willing ally within 3 units.,Effect,"Trigger: An attack targets the creature while it stands within 1 unit of one of your Rite anchors, before rolling. Response (unopposed): Grant +1 to its targeted Defense against that attack.",1,The creature resists up to 2 units of forced movement from the attack.,2,Reduce its Damage by 1 if it hits.,,,
A Curse Given Back,spiritual,1,Ritualism,Hex,Anima,Ritualism,Harmony,2,1,"Severance, Sympathy",any,"suppression, debuff, counterattack",,Target,One enemy within 4 units.,Effect,"Trigger: The enemy imposes an ordinary magical Condition on you. Response: On success, suppress that Condition on yourself until the start of your next turn and give the enemy -1 Harmony for the same duration.",1,"On a hit, the enemy is Slowed 1 until the start of your next turn.",2,Deal 1 Necrotic Damage on a hit.,,,
The Page Turns Early,spiritual,1,Ritualism,Divination,Adaptability,Ritualism,,2,1,"Entreaty, Liturgy",any,"protection, mobility, support",,Target,Self or one willing ally within 4 units.,Effect,Trigger: A detected enemy declares an area Action including the target. Response (unopposed): Move the target 1 unit; recheck the area afterward.,1,Increase movement by 1 unit.,2,"If still affected, give the target +1 to the targeted Defense against that Action.",,,
The Sigil Holds,spiritual,1,Ritualism,Imbuement,Anima,Ritualism,,2,1,"Inscription, Reagents",any,"protection, suppression, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction would force the target to move or make it Prone. Response (unopposed): Reduce forced movement by 2 units and prevent that Prone effect.,1,Suppress an ordinary Poison penalty on the target until the start of your next turn.,2,Reduce the Action's Damage to the target by 1.,,,
The Unspent Candle,spiritual,1,Ritualism,Offering,Anima,Ritualism,,2,1,"Severance, Consecration",any,"protection, suppression, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): End one of your Rites to reduce that Damage by 2. Ending it this way cannot resolve an Echo.,1,The target may move 1 unit after the Action.,2,Suppress one Light Wound Condition's numerical penalties on the target until the start of your next turn.,,,
The Gate Refuses the Storm,spiritual,2,Ritualism,Ward,Anima,Ritualism,,3,2,"Consecration, Liturgy",any,"protection, support",,Target,Self or one willing ally within 4 units.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce it by 2 and resist 1 unit of forced movement from the Action.,1,Resist 1 additional unit.,2,An adjacent willing creature also reduces Damage from the same Action by 1.,,,
The Answer Hidden in the Spread,spiritual,2,Ritualism,Divination,Adaptability,Ritualism,,3,2,"Sympathy, Entreaty",any,"support, setup, mobility",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: The target rolls a Combat Card, before spending Surges. Response (unopposed): It may reroll one die and must use the new result, then recalculate its Success Die and generated Surges.",1,It may ignore one ordinary -1 Success Die penalty on that card.,2,"After that card, the target may move 1 unit. No additional Action is granted.",,,
The Seal Beneath the Scar,spiritual,2,Ritualism,Imbuement,Anima,Ritualism,,3,2,"Reagents, Inscription",any,"suppression, protection, support",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: An Action or Reaction fills a Core Wound on the target. Response (unopposed): After recording the Wound, suppress that new Wound Condition's numerical penalties until the start of your next turn if non-Critical. The Wound remains.",1,The target resists 1 unit of any remaining forced movement from that Action.,2,It gains +1 Harmony against the next attack targeting it until the start of your next turn.,,,
The Last Coin Is Not Yours,spiritual,2,Ritualism,Offering,Adaptability,Ritualism,Harmony,3,2,"Severance, Sympathy",any,"damage, debuff, counterattack",,Target,One enemy within 5 units.,Effect,"Trigger: The enemy ends one of your Rites with an Action. Response: On success, deal 2 Necrotic Damage after that Action; the Rite remains ended.",1,"On a hit, suppress one ordinary magical Movement bonus on the enemy until the start of your next turn, up to 1 unit.",2,"On a hit, it is Distracted until the start of your next turn.",,,
"Little Sentinel, Warn Me",spiritual,0,Calling,Familiar,Adaptability,Calling,,2,,,any,"protection, information, support",,Target,Self or one willing ally within 2 units.,Effect,"Trigger: An attack targets the creature from a source you detect, before rolling. Response (unopposed): Grant +1 to its targeted Defense against the attack.",1,Reveal the attacker's occupied space to the target.,2,"After the attack, the target may move 1 unit.",,,
"Mote of Mercy, Turn the Edge",spiritual,0,Calling,Sprite,Anima,Calling,,2,,,any,"protection, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce it by 1; this prevents harm rather than healing any injury.,1,The target resists 1 unit of forced movement from that Action.,2,Reduce the Damage by 1 more.,,,
"Hunting Brother, Answer the Bite",spiritual,1,Calling,Beast,Anima,Calling,Fortitude,2,1,"Vessel, Accord",any,"damage, control, counterattack",,Target,One enemy within 2 units.,Effect,"Trigger: The enemy damages you with a melee Action. Response: After that Damage, on success deal 1 Slashing Damage.",1,"After a hit, pull the target 1 unit.",2,Deal +1 Slashing Damage.,,,
"Pack Mother, Pull Them Clear",spiritual,1,Calling,Beast,Adaptability,Calling,,2,1,"Transference, Chorus",any,"protection, mobility, support",,Target,Self or one willing ally within 3 units.,Effect,"Trigger: An area Action is declared including the target. Response (unopposed): Move it 1 unit along a clear path, then recheck the area.",1,Increase movement by 1 unit.,2,"If still affected, grant +1 to its targeted Defense against that Action.",,,
"White Shroud, Swallow the Hex",spiritual,1,Calling,Phantom,Anima,Calling,,2,1,"Banishment, Anchoring",any,"protection, suppression, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction imposes an ordinary magical Condition on the target. Response (unopposed): Suppress that Condition until the start of your next turn.,1,The target gains +1 Harmony against the next attack targeting it until the start of your next turn.,2,The target reduces its next incoming Damage by 1 until the start of your next turn.,,,
"Unseen Guest, Undo Their Certainty",spiritual,1,Calling,Phantom,Presence,Calling,Composure,2,1,"Dominion, Transference",any,"protection, debuff, mobility",,Target,One detected enemy within 4 units.,Effect,"Trigger: The enemy declares a single-target Action against you, before rolling. Response: On success, impose -1 on its Success Die and move yourself 1 unit before its roll; recheck range.",1,"On a hit, its target space provides concealment afterward until the start of your next turn.",2,"On a hit, the enemy is Distracted after the Action until the start of your next turn.",,,
"Stone Brother, Take the Weight",spiritual,1,Calling,Golem,Anima,Calling,,2,1,"Anchoring, Vessel",any,"protection, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction would deal physical Damage to the target. Response (unopposed): Reduce it by 1 and resist up to 2 units of forced movement from the same Action.,1,Prevent the Action's ordinary Prone effect.,2,Reduce its Damage by 1 more.,,,
"River King, Divide the Torrent",spiritual,2,Calling,Elemental,Anima,Calling,,3,2,"Anchoring, Banishment",any,"protection, suppression, support",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: An Action or Reaction would deal Fire, Cold, Lightning or Acid Damage to the target. Response (unopposed): Reduce it by 2 and suppress one ordinary Burning or Poison Condition imposed by that Action until the start of your next turn.",1,The target may move 1 unit after the Action.,2,An adjacent willing creature also reduces Damage from that same Action by 1.,,,
"Thunder Sister, Answer the Intrusion",spiritual,2,Calling,Elemental,Presence,Calling,Fortitude,3,2,"Dominion, Chorus",any,"damage, area, counterattack",,Target,One enemy within 5 units.,Effect,"Trigger: The enemy finishes voluntary movement adjacent to you or an ally within 2 units. Response: On success, deal 1 Lightning Damage and push it 1 unit.",1,Push it 1 additional unit.,2,Also attack a second enemy within 1 unit of the first with the same roll for 1 Lightning Damage.,,,
"Elder Shield, Remember the Watch",spiritual,2,Calling,Ancestor,Anima,Calling,,3,2,"Accord, Vessel",any,"protection, suppression, support",,Target,Self or one willing ally within 4 units.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce it by 2. The target gains +1 Composure against pain until the start of your next turn.,1,"After the Action, the target may move 1 unit toward you; self moves freely.",2,Suppress one non-Critical Wound Condition's numerical penalties on the target until the start of your next turn.,,,
"Laughing Envoy, Change the Door",spiritual,2,Calling,Fey,Adaptability,Calling,,3,2,"Transference, Accord",any,"protection, mobility, support",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: An attack targets the creature, before rolling. Response (unopposed): Move it up to 2 units along a clear path; it gains +1 Fortitude against that attack. Recheck target validity afterward.",1,Ignore difficult terrain during the movement.,2,Swap it with another willing creature adjacent to its starting space instead; the new legal target receives the Fortitude bonus.,,,
