name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Not Where You Aimed,mental,0,Cunning,Evasion,Acuity,Cunning,,2,,,any,"protection, mobility",,Target,Self.,Effect,"Trigger: An Action or Reaction targets you, before its roll. Response (unopposed): Move 1 unit and gain +1 Fortitude against that Action. Recheck range afterward.",1,Ignore difficult terrain for that movement.,2,"If the attack still hits, reduce its Damage by 1.",,,
An Obvious Mistake,mental,0,Cunning,Reversal,Acuity,Cunning,Fortitude,2,,,any,"damage, setup, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy misses you with a melee Action. Response: On success, deal 1 weapon Damage.",1,"After a hit, move 1 unit.",2,"On a hit, the target becomes Exposed until the start of your next turn.",,,
You Looked Away,mental,1,Cunning,Ambush,Acuity,Cunning,Fortitude,2,1,"Infiltration, Sleight",any,"damage, mobility, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy declares an Action against someone other than you while you have cover from it. Response: On success, deal 1 weapon Damage before that Action continues.",1,Ignore 1 point of cover bonus.,2,"After resolving, move 1 unit toward cover.",,,
Pull the Other Wire,mental,1,Cunning,Trap,Intellect,Cunning,,2,1,"Sabotage, Improvisation",any,"control, setup, mobility",,Target,Self; one enemy within 3 units.,Effect,"Trigger: That enemy would trigger your unspent Contingency. Response (unopposed): Retarget its effect to another legal target within 1 unit of the original, or delay it until the end of that enemy's current Action.",1,Move 1 unit as you make the adjustment.,2,"After the Contingency resolves, one enemy it affected becomes Exposed until the start of your next turn.",,,
Read the Follow-Through,mental,1,Cunning,Reversal,Acuity,Cunning,,2,1,"Observation, Exploitation",any,"protection, setup",,Target,Self.,Effect,"Trigger: An Action or Reaction would deal Damage to you. Response (unopposed): Reduce that Damage by 1. If the attacker was Exposed when the Action began, reduce it by 2 instead.",1,"After the Action, move 1 unit.",2,"After the Action, the attacker becomes Exposed if detected and within 3 units.",,,
Sweeten the Bait,mental,1,Cunning,Gambit,Intellect,Cunning,Composure,2,1,"Deception, Observation",any,"protection, debuff",,Target,One detected enemy within 4 units.,Effect,"Trigger: The enemy declares an attack against you, before rolling. Response: On success, impose -1 on that attack's Success Die; you take -1 Fortitude against it if your Reaction misses.",1,"After a hit, move 1 unit away.",2,"On a hit, suppress its ordinary accuracy bonuses for that attack, to a maximum reduction of 1.",,,
Leave Them Holding It,mental,1,Cunning,Evasion,Acuity,Cunning,,2,1,"Sleight, Exploitation",any,"mobility, suppression, setup",,Target,Self.,Effect,Trigger: An Action or Reaction imposes an ordinary restraint on you. Response (unopposed): Suppress that restraint during a 1-unit move. It ends if its source no longer reaches you; otherwise it resumes.,1,Increase movement by 1 unit.,2,"If you escape, the restraining enemy becomes Exposed until the start of your next turn.",,,
The Second Blind Spot,mental,2,Cunning,Ambush,Acuity,Cunning,Fortitude,3,2,"Infiltration, Exploitation",any,"damage, mobility, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy misses an Action while Exposed, or ends an Action without detecting you despite your nearby concealment. Response: On success, deal 2 weapon Damage.",1,"After a hit, move 1 unit around it.",2,"On a hit, the target cannot make movement Reactions against you until the start of your next turn.",,,
Catch the Trigger,mental,2,Cunning,Trap,Intellect,Cunning,,3,2,"Sabotage, Observation",any,"protection, support, suppression",,Target,Self or one willing ally within 3 units.,Effect,Trigger: A visible mundane trap or terrain hazard would deal Damage to the target. Response (unopposed): Reduce that Damage by 2.,1,Move the protected creature 1 unit to a safe adjacent space after the hazard resolves.,2,Suppress one ordinary Condition imposed by that hazard until the start of your next turn.,,,
The Cost of Overreach,mental,2,Cunning,Reversal,Acuity,Cunning,Fortitude,3,2,"Exploitation, Improvisation",any,"damage, control, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy misses you with an Action for which it rolled at least 3 dice. Response: On success, deal 1 weapon Damage and move it 1 unit sideways.",1,"After a hit, move into its vacated space.",2,Deal +1 weapon Damage if it is beside an obstacle.,,,
