name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
With Me,spiritual,0,Leadership,Order,Presence,Leadership,,2,,,any,"mobility, support, setup",,Target,Self or one willing ally within 3 units who can perceive you.,Effect,"Unopposed. The target moves up to 2 units toward you or a visible enemy; when targeting yourself, choose any visible destination.",1,Increase movement by 1 unit.,2,The target becomes Rallied until the start of your next turn.,Authority - Order,Spend this Authority when you or an ally within 3 units begins voluntary movement: ignore the first difficult space of that movement.,AUTHORITY CAP: 1 AT R0-R2
Hold Your Ground,spiritual,0,Leadership,Formation,Anima,Leadership,,2,,,any,"protection, support",,Target,Self and an optional adjacent willing ally.,Effect,Unopposed. Each target resists its next 1 unit of forced movement until the start of your next turn. Choose one target to reduce its next incoming Damage by 1 in that time.,1,The ally may move 1 unit toward you.,2,Both targets receive the Damage reduction.,Authority - Formation,Spend this Authority when you or an adjacent willing ally would be pushed: reduce that push by 1 unit. This does not require another ally.,AUTHORITY CAP: 1 AT R0-R2
Here Is Our Line,spiritual,0,Leadership,Standard,Presence,Leadership,,2,,,any,"protection, support, terrain",,Target,One visible space within 2 units; yourself or a willing ally adjacent to it.,Effect,Unopposed. Mark the space as a rally point until the start of your next turn. The chosen creature gains +1 Fortitude against the next attack targeting it while within 1 unit of the point.,1,Move the point 1 unit before establishing it.,2,One willing creature within 1 unit of the point becomes Rallied until the start of your next turn.,Authority - Standard,Spend this Authority when a willing creature within 1 unit of the marked point is missed: it may move 1 unit toward the point without triggering movement Reactions.,AUTHORITY CAP: 1 AT R0-R2
Eyes on Me,spiritual,0,Leadership,Vow,Presence,Leadership,Composure,2,,,any,"debuff, protection, setup",,Target,One detected enemy within 4 units that can perceive you.,Effect,"On success, the target has -1 on its next Success Die against anyone other than you until the start of your next turn. You gain +1 Fortitude against it during that time.",1,Move 1 unit toward the target.,2,"On a hit, the target is Distracted until the start of your next turn.",Authority - Vow,"Vow: do not voluntarily move farther from the target before your next turn. If kept, spend this Authority when it attacks you to resist 1 unit of forced movement; breaking the Vow discards it.",AUTHORITY CAP: 1 AT R0-R2
I Go First,spiritual,0,Leadership,Example,Presence,Leadership,Fortitude,2,,,any,"damage, support, mobility",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage.",2,Deal +1 weapon Damage.,1,"After a hit, yourself or one adjacent willing ally may move 1 unit toward the target.",Authority - Example,Spend this Authority when you or an ally within 3 units next hits this target: move the attacker 1 unit around it after the hit without triggering that target's movement Reactions.,AUTHORITY CAP: 1 AT R0-R2
Steady Hands,spiritual,0,Leadership,Order,Anima,Leadership,,2,,,any,"support, suppression, protection",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. Suppress one ordinary -1 penalty to the target's next Success Die until the start of your next turn; it becomes Rallied for that duration.,1,The target gains +1 Composure against the next attack targeting it until the start of your next turn.,2,An additional willing creature within 2 units receives the numerical suppression.,Authority - Order,Spend this Authority when the target misses a Combat Card: it may move 1 unit after resolving. This does not grant another attempt.,AUTHORITY CAP: 1 AT R0-R2
Take the Inside,spiritual,1,Leadership,Order,Adaptability,Leadership,Fortitude,2,1,"Tactics, Coordination",any,"damage, support, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage. Afterward yourself or an adjacent willing ally may move 1 unit around the target.",1,Increase that movement by 1 unit.,2,"On a hit, the target suffers -1 Fortitude against the next melee attack before your next turn.",Authority - Order,Spend this Authority when you or an ally within 3 units ends adjacent to the target: that creature becomes Rallied until your next turn.,AUTHORITY CAP: 1 AT R0-R2
Recover Your Footing,spiritual,1,Leadership,Order,Anima,Leadership,,2,1,"Discipline, Inspiration",any,"support, suppression, mobility",,Target,Self or one willing ally within 4 units.,Effect,"Unopposed. The target may stand from Prone without burning a die, then suppress one ordinary Slowed Condition until the start of your next turn.",1,The target may move 1 unit.,2,It becomes Rallied until the start of your next turn.,Authority - Order,Spend this Authority when the target fails a Combat Card due to an ordinary Success Die penalty: suppress that penalty for its next card before your next turn; the failed card remains failed.,AUTHORITY CAP: 1 AT R0-R2
Make Them Commit,spiritual,1,Leadership,Order,Presence,Leadership,Composure,2,1,"Provocation, Tactics",any,"debuff, protection, mobility",,Target,One detected enemy within 5 units.,Effect,"On success, the target is Distracted until the start of your next turn; you gain +1 Fortitude against it during that time.",1,Move 1 unit toward or around it.,2,"On a hit, it is Slowed 2 until the start of your next turn.",Authority - Order,"Spend this Authority when the target declares an Action against you before your next turn: one willing creature within 3 units, including you, may move 1 unit before that Action rolls.",AUTHORITY CAP: 1 AT R0-R2
Shoulder to Shoulder,spiritual,1,Leadership,Formation,Anima,Leadership,,2,1,"Guardianship, Coordination",any,"protection, support, mobility",,Target,"Self and one adjacent willing ally, or self alone.",Effect,"Unopposed. Each target reduces its next incoming Damage by 1 until the start of your next turn, provided it is still adjacent to you when damaged. You always qualify.",1,The ally may move 1 unit toward you.,2,Each target also gains +1 Fortitude against the next melee attack targeting it until the start of your next turn.,Authority - Formation,"Spend this Authority when a protected creature is pushed before your next turn: another protected willing creature may follow it 1 unit; alone, you resist 1 unit of the push instead.",AUTHORITY CAP: 1 AT R0-R2
Open the Passage,spiritual,1,Leadership,Formation,Adaptability,Leadership,Fortitude,2,1,"Tactics, Valor",any,"damage, control, support",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and push the target 1 unit. Independently, your allies may pass through your space until the start of your next turn.",1,"After a hit, move into the target's vacated space.",2,An adjacent willing ally may move 2 units through the opened space after the attack.,Authority - Formation,Spend this Authority when you or an ally crosses the target's former space before your next turn: that creature ignores movement Reactions from the target for that move.,AUTHORITY CAP: 1 AT R0-R2
Disciplined Retreat,spiritual,1,Leadership,Formation,Adaptability,Leadership,,2,1,"Discipline, Guardianship",any,"mobility, protection, support",,Target,Self and up to two willing allies within 2 units.,Effect,Unopposed. Each target may move 1 unit away from a visible enemy; choose one target to gain +1 Fortitude against that enemy until the start of your next turn.,1,Increase each movement by 1 unit.,2,All targets gain the defensive bonus.,Authority - Formation,"Spend this Authority when a retreating creature would become Prone before your next turn: suppress that Prone effect until the triggering Action ends, then allow it to resume.",AUTHORITY CAP: 1 AT R0-R2
Rally at the Breach,spiritual,1,Leadership,Standard,Presence,Leadership,,2,1,"Inspiration, Coordination",any,"setup, support, protection",,Target,One visible space within 3 units; willing creatures within 1 unit of it.,Effect,"Unopposed. Choose up to two targets, including yourself if in range. Each becomes Rallied until the start of your next turn. Mark the space as your rally point for that duration.",1,One target may move 1 unit toward the point.,2,Each target reduces its next incoming Damage by 1 while adjacent to the point until the start of your next turn.,Authority - Standard,Spend this Authority when a willing creature reaches the marked point before your next turn: it may suppress one ordinary Success Die penalty on its next Combat Card.,AUTHORITY CAP: 1 AT R0-R2
