name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
False Opening,mental,0,Cunning,Ambush,Acuity,Cunning,Fortitude,2,,,any,"damage, setup, mobility",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage.",2,Deal +1 weapon Damage.,1,"On a hit, the target becomes Exposed until the start of your next turn.",Contingency - Ambush,"When this target misses an Action before your next turn, you may move 1 unit without triggering its movement Reactions.",ESTABLISH: 1 PER ROUND
Heel Catch,mental,0,Cunning,Trap,Intellect,Cunning,Fortitude,2,,,any,"damage, control, setup",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and make it Slowed 1 until the start of your next turn.",1,Increase the Slow by 1.,2,"On a hit, move the target 1 unit sideways.",Contingency - Trap,"Choose an adjacent empty space. When an enemy voluntarily enters it, that enemy becomes Exposed until your next turn.",ESTABLISH: 1 PER ROUND
Wrong Foot,mental,0,Cunning,Reversal,Acuity,Cunning,Composure,2,,,any,"debuff, protection, setup",,Target,One detected enemy within 3 units.,Effect,"On success, the target suffers -1 on its next Success Die until the start of your next turn.",1,"On a hit, move 1 unit away from the target.",2,"On a hit, the target also becomes Exposed until the start of your next turn.",Contingency - Reversal,"When the target declares an attack against you, you gain +1 to the targeted Defense against that attack.",ESTABLISH: 1 PER ROUND
Bait and Switch,mental,0,Cunning,Gambit,Intellect,Cunning,,2,,,any,"protection, mobility, support",,Target,Self; choose a visible enemy within 4 units.,Effect,Unopposed. Move 1 unit and gain +1 Fortitude against the chosen enemy until the start of your next turn.,1,Increase the movement by 1 unit.,2,A willing ally within 2 units may move 1 unit toward your vacated space.,Contingency - Gambit,"When the chosen enemy finishes moving adjacent to you, you may move 1 unit and make it Exposed until your next turn.",ESTABLISH: 1 PER ROUND
Slip the Attention,mental,0,Cunning,Evasion,Acuity,Cunning,,2,,,any,"mobility, suppression",,Target,Self.,Effect,"Unopposed. Move up to 2 units toward existing cover or concealment. If none is available, move 1 unit instead.",1,Increase the movement by 1 unit.,2,Suppress an ordinary Slowed Condition during this movement.,Contingency - Evasion,"When an enemy enters a space adjacent to your destination, you may move 1 unit farther into cover without triggering its movement Reactions.",ESTABLISH: 1 PER ROUND
Read the Tell,mental,0,Cunning,Ambush,Acuity,Cunning,Composure,2,,,any,"information, setup, support",,Target,One detected enemy within 4 units.,Effect,"On success, learn its highest Defense and make it Exposed until the start of your next turn. Ties are reported as ties.",1,Also learn its lowest Defense.,2,An ally within 3 units gains +1 Defense against the target's next attack until the start of your next turn.,Contingency - Ambush,"When the target changes position before your next turn, you may move 1 unit toward a space with a clear view of it.",ESTABLISH: 1 PER ROUND
Borrowed Blind Spot,mental,1,Cunning,Ambush,Acuity,Cunning,Fortitude,2,1,"Infiltration, Exploitation",any,"damage, setup, mobility",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage. If you began in concealment, ignore 1 point of cover bonus.",1,Move 1 unit toward cover after resolving.,2,Deal +1 Damage if the target was Exposed when you declared this Action.,Contingency - Ambush,"When the target turns its attack toward another creature before your next turn, it becomes Exposed after that attack.",ESTABLISH: 1 PER ROUND
Palmed Advantage,mental,1,Cunning,Ambush,Intellect,Cunning,Fortitude,2,1,"Sleight, Deception",any,"damage, debuff, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 weapon Damage and make the target Distracted until the start of your next turn.",1,Move one unsecured small object held by the target into its space on a hit; not its weapon or signature equipment.,2,"On a hit, the target cannot make movement Reactions against you until the start of your next turn.",Contingency - Ambush,"When the target next moves or retrieves an object before your next turn, you may move 1 unit around it and make it Exposed.",ESTABLISH: 1 PER ROUND
Count the Gaps,mental,1,Cunning,Ambush,Acuity,Cunning,Fortitude,2,1,"Observation, Exploitation",any,"damage, information, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and learn whether it currently has any damage-reduction benefit; learn its value, not concealed abilities.",1,Ignore 1 point of cover bonus.,2,"On a hit, suppress 1 point of its next ordinary damage reduction until the start of your next turn.",Contingency - Ambush,"When the target receives an ordinary defensive benefit before your next turn, it becomes Exposed after that benefit resolves.",ESTABLISH: 1 PER ROUND
Doorstop Gambit,mental,1,Cunning,Trap,Intellect,Cunning,Fortitude,2,1,"Sabotage, Improvisation",any,"control, terrain",,Target,One enemy within 2 units beside an obstacle or doorway.,Effect,"On success, push the target 1 unit away from the obstacle and make it Slowed 1 until the start of your next turn.",1,Increase the push by 1 unit.,2,Deal 1 Bludgeoning Damage on a hit.,Contingency - Trap,"Mark one adjacent doorway or gap. When an enemy voluntarily crosses it, halt that movement after 1 unit; it may burn 1 die to continue.",ESTABLISH: 1 PER ROUND
