name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Swallow Opens the Gate,physical,0,Prowess,Opener,Grace,Prowess,Fortitude,2,,,any,"damage, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage.",2,Deal +1 weapon Damage.,1,Move 1 unit after the attack.,Combo - Opener,"If you began this Action with no Combo and hit, gain 1 additional Combo.",COMBO LIMIT: 5
Reed Bends Before Iron,physical,0,Prowess,Guard,Vigor,Prowess,,2,,,any,"protection, support",,Target,Self.,Effect,Unopposed. Reduce the next incoming Damage you take by 1 until the start of your next turn.,1,You also resist the next 1 unit of forced movement until the start of your next turn.,2,Extend the protection to one adjacent willing ally.,Combo - Guard,"You may enter Reed Stance: while you have not moved since your last turn began, the first forced movement against you each round is reduced by 1 unit.",COMBO LIMIT: 5
Hare Crosses the Spear,physical,0,Prowess,Blitz,Grace,Prowess,Fortitude,2,,,any,"damage, mobility",,Target,One enemy within melee Weapon Range after your movement.,Effect,"Move up to 2 units before the attack. On success, deal 1 weapon Damage.",1,Increase this movement by 1 unit.,2,"After a hit, move 1 unit without triggering movement Reactions.",Combo - Blitz,"After resolving, you may spend 1 Combo to move through one adjacent willing ally's space and stop in an empty adjacent space.",COMBO LIMIT: 5
Stone Finds the Knee,physical,0,Prowess,Breaker,Might,Prowess,Fortitude,2,,,any,"damage, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and push the target 1 unit.",1,Push 1 additional unit.,2,The target's Movement is reduced by 1 until the start of your next turn.,Combo - Breaker,"If a hit moves the target away from an ally or from cover, gain 1 additional Combo.",COMBO LIMIT: 5
Last Leaf Falls,physical,0,Prowess,Finisher,Might,Prowess,Fortitude,2,,,any,"damage, mobility, control",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage.",2,Deal +1 weapon Damage.,1,"On a hit, the target cannot make movement Reactions against you until the start of your next turn.",Combo - Finisher,"After a hit, you may spend 2 Combo to push the target 1 unit and move into its vacated space.",COMBO LIMIT: 5
Palm Measures the Storm,physical,0,Prowess,Opener,Vigor,Prowess,,2,,,any,"protection, setup, support",,Target,Self.,Effect,Unopposed. Choose one visible enemy. Gain +1 Fortitude against its attacks until the start of your next turn.,1,Move 1 unit toward the chosen enemy.,2,One adjacent willing ally gains the same protection.,Combo - Opener,Gain 1 Combo if you have none. Your next Prowess hit on the chosen enemy before your next turn preserves 1 Combo from loss caused by your next Core Wound.,COMBO LIMIT: 5
Heron Splits the Reflection,physical,1,Prowess,Opener,Grace,Prowess,Fortitude,2,1,"Dueling, Skirmishing",any,"damage, mobility, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage. Ignore its cover bonus if no other enemy is adjacent to you.",1,"On a hit, shift 1 unit around the target without triggering its movement Reactions.",2,Deal +1 weapon Damage if no other enemy is adjacent to you.,Combo - Opener,"After a hit, gain 1 additional Combo if you attacked from a different space than on your previous Prowess Action.",COMBO LIMIT: 5
Tiger Wakes Beneath Snow,physical,1,Prowess,Opener,Might,Prowess,Fortitude,2,1,"Berserking, Brawling",any,"damage, suppression, setup",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage. Until your next turn, ignore the Movement penalty from one Light physical Wound Condition.",2,Deal +1 Damage if you have a Core Wound.,1,"On a hit, push the target 1 unit.",Combo - Opener,"If hit, you may enter Tiger Stance: while you have a Core Wound, the first Prowess hit on your turn grants 1 additional Combo; your Composure is reduced by 1.",COMBO LIMIT: 5
Two Reeds Share the Wind,physical,1,Prowess,Opener,Grace,Prowess,Fortitude,2,1,"Phalanx, Grappling",any,"damage, support, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage; you or an adjacent willing ally may move 1 unit into a space adjacent to you.",1,The moving creature may swap spaces with you instead.,2,"On a hit, reduce the target's next forced movement of either creature by 2 units until the start of your next turn.",Combo - Opener,"If you end adjacent to a willing ally, gain 1 Combo even on a miss. You may spend it when that ally is pushed before your next turn to reduce the push by 1.",COMBO LIMIT: 5
Crane Steps Through Rain,physical,1,Prowess,Blitz,Grace,Prowess,Fortitude,2,1,"Skirmishing, Dueling",any,"damage, mobility, protection",,Target,One enemy within melee Weapon Range after your movement.,Effect,"Move up to 2 units. On success, deal 1 weapon Damage.",1,Ignore difficult terrain during this movement.,2,"On a hit, move 2 units away from the target without triggering its movement Reactions.",Combo - Blitz,"Spend 1 Combo after resolving to gain +1 Fortitude against the target until the start of your next turn, provided you are no longer adjacent to it.",COMBO LIMIT: 5
Boar Breaks the Thicket,physical,1,Prowess,Blitz,Might,Prowess,Fortitude,2,1,"Berserking, Reaving",any,"damage, mobility, control",,Target,One enemy within melee Weapon Range after your movement.,Effect,"Move up to 2 units in a straight line. On success, deal 1 weapon Damage and push the target 1 unit.",2,Deal +1 Damage if you moved at least 2 units toward the target.,1,"After a hit, move into the target's vacated space.",Combo - Blitz,"After a hit, you may spend 1 Combo to push a different adjacent enemy 1 unit; compare this Action's Success Die to its Fortitude.",COMBO LIMIT: 5
Monkey Steals the Threshold,physical,1,Prowess,Blitz,Grace,Prowess,Fortitude,2,1,"Brawling, Grappling",any,"damage, mobility, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and swap spaces with the target, if both spaces can hold their new occupants.",1,"After swapping, move 1 unit without triggering the target's movement Reactions.",2,The target is Slowed 2 until the start of your next turn.,Combo - Blitz,"After a successful swap, gain 1 additional Combo if the target now stands beside an obstacle or another enemy.",COMBO LIMIT: 5
Falling Petal Cuts Deep,physical,1,Prowess,Finisher,Grace,Prowess,Fortitude,2,1,"Dueling, Reaving",any,"damage, debuff, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage. The target suffers -1 Fortitude against your next Prowess attack before your next turn.",2,Deal +1 weapon Damage.,1,"On a hit, move 1 unit around the target.",Combo - Finisher,"After a hit, you may spend 2 Combo to extend the Fortitude penalty to the next attack by any creature instead; it still expires at your next turn.",COMBO LIMIT: 5
Ox Closes the Mountain Pass,physical,1,Prowess,Finisher,Might,Prowess,Fortitude,2,1,"Grappling, Phalanx",any,"damage, control, protection",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and prevent the target from moving through your space until the start of your next turn.",1,Pull the target 1 unit before dealing Damage.,2,The target cannot voluntarily move farther from you until the start of your next turn; it may burn 1 die to end this restriction.,Combo - Finisher,"After a hit, spend 2 Combo to enter Ox Stance: adjacent enemies treat spaces adjacent to you as difficult terrain while you remain in place.",COMBO LIMIT: 5
Wolf Bites the Fleeing Moon,physical,1,Prowess,Finisher,Might,Prowess,Fortitude,2,1,"Berserking, Skirmishing",any,"damage, mobility, control",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage, or 2 if the target voluntarily moved away from you since your last turn.",1,Move 1 unit toward the target before rolling.,2,"On a hit, the target is Slowed 2 until the start of your next turn.",Combo - Finisher,"After a hit, spend 2 Combo to follow the target up to 2 units the next time it voluntarily moves before your next turn; this follow does not trigger movement Reactions.",COMBO LIMIT: 5
Hammer Rings the Empty Bell,physical,1,Prowess,Breaker,Might,Prowess,Fortitude,2,1,"Brawling, Dueling",any,"damage, debuff, setup",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and impose -1 on the target's next Success Die before your next turn.",1,Suppress its next 1 point of cover bonus until the start of your next turn.,2,The target cannot make movement Reactions until the start of your next turn.,Combo - Breaker,"If you hit a creature that has declared a defensive Reaction to this Action, gain 1 additional Combo.",COMBO LIMIT: 5
Roots Tear the Pavement,physical,1,Prowess,Breaker,Might,Prowess,Fortitude,2,1,"Grappling, Reaving",any,"damage, control, mobility",,Target,One adjacent enemy.,Effect,"On success, pull the target 2 units along a clear path that ends adjacent to you, then deal 1 Bludgeoning Damage.",1,The final space may instead be any empty space adjacent to you.,2,Knock the target Prone.,Combo - Breaker,"After moving the target, spend 1 Combo to move 1 unit and pull it 1 unit along with you, keeping it adjacent.",COMBO LIMIT: 5
Pike Scatters the Reeds,physical,1,Prowess,Breaker,Vigor,Prowess,Fortitude,2,1,"Phalanx, Skirmishing",any,"damage, control, support",,Target,Up to two enemies within melee Weapon Range.,Effect,"On success, push each target 1 unit. Choose one hit target to take 1 weapon Damage.",1,An adjacent willing ally may move 1 unit into a vacated space.,2,One hit target is Slowed 2 until the start of your next turn.,Combo - Breaker,"If at least one target ends farther from you, enter Pike Stance: your first Prowess Reaction against an approaching enemy before your next turn gains 1 Surge.",COMBO LIMIT: 5
Tortoise Shelters the Candle,physical,1,Prowess,Guard,Vigor,Prowess,,2,1,"Phalanx, Brawling",any,"protection, support",,Target,Self or one adjacent willing ally.,Effect,Unopposed. The target reduces its next incoming Damage by 1 and its next forced movement by 1 unit until the start of your next turn.,1,The target may move 1 unit toward you.,2,Protect yourself and one adjacent willing ally instead.,Combo - Guard,"Spend 1 Combo to enter Tortoise Stance: while adjacent to the protected ally, you may take the first 1 Damage that would hit it before your next turn instead.",COMBO LIMIT: 5
Willow Hides the Broken Branch,physical,1,Prowess,Guard,Vigor,Prowess,,2,1,"Berserking, Grappling",any,"protection, suppression",,Target,Self.,Effect,Unopposed. Suppress one Light physical Wound Condition's numerical penalties until the start of your next turn. You also reduce your next incoming Damage by 1 during that time.,1,Extend suppression to the end of your next turn.,2,"Until your next turn, reduce forced movement against you by 2 units.",Combo - Guard,Enter Willow Stance: you do not lose Combo from the first Core Wound you suffer each round. The Wound and its other consequences still occur.,COMBO LIMIT: 5
Mirror Waits for the Blade,physical,1,Prowess,Guard,Grace,Prowess,,2,1,"Dueling, Reaving",any,"protection, setup, mobility",,Target,Self.,Effect,Unopposed. Choose one visible enemy. Gain +1 Fortitude against it and ignore its cover bonus for your next Prowess attack until the start of your next turn.,1,Move 1 unit without triggering the chosen enemy's movement Reactions.,2,Gain the Fortitude bonus against all enemies instead.,Combo - Guard,"If the chosen enemy misses you before your next turn, you may spend 1 Combo to move 1 unit and give it -1 Fortitude against your next Prowess Action until the end of your next turn.",COMBO LIMIT: 5
Dragon Knocks at Dawn,physical,2,Prowess,Opener,Might,Prowess,Fortitude,3,2,"Berserking, Phalanx",any,"damage, support, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 2 weapon Damage. One adjacent willing ally may move 1 unit toward the target after the attack.",1,The ally may move 2 units instead.,2,"On a hit, the target is Distracted until the start of your next turn.",Combo - Opener,"After a hit, enter Dawn Stance: the first time each round you protect an adjacent ally with a Prowess Reaction, gain 1 Combo.",COMBO LIMIT: 5
