name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Reed Turns the Edge,physical,0,Prowess,Guard,Grace,Prowess,,2,,,any,"protection, mobility",,Target,"Self, against one melee attack.",Effect,Trigger: A melee Action would deal Damage to you. Response (unopposed): Reduce that Damage by 1 before it accumulates.,1,"After the attack, move 1 unit away from its source.",2,Reduce the Damage by 1 more.,,,
Pebble Trips the Heel,physical,0,Prowess,Breaker,Might,Prowess,Fortitude,2,,,any,"damage, control, counterattack",,Target,One enemy that starts within 1 unit of you.,Effect,"Trigger: The enemy voluntarily begins moving away from you. Response: On success, deal 1 Bludgeoning Damage after its first unit of movement.",1,"On a hit, reduce its remaining Movement this turn by 1.",2,"On a hit, follow 1 unit without triggering movement Reactions.",,,
Heron Answers the Spear,physical,1,Prowess,Opener,Grace,Prowess,Fortitude,2,1,"Dueling, Skirmishing",any,"damage, mobility, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy misses you with a melee Action. Response: On success, deal 1 weapon Damage.",1,Move 1 unit around the target after the attack.,2,"If hit, gain 1 additional Combo.",,,
Hound Follows the Ribbon,physical,1,Prowess,Blitz,Grace,Prowess,,2,1,"Skirmishing, Reaving",any,"mobility, protection",,Target,Self; one visible enemy within 3 units.,Effect,"Trigger: That enemy finishes voluntary movement farther from you. Response (unopposed): Move up to 2 units toward it, without triggering its movement Reactions.",1,Increase this movement by 1 unit.,2,Gain +1 Fortitude against that enemy until the start of your next turn.,,,
Viper Closes the Circle,physical,1,Prowess,Finisher,Might,Prowess,Fortitude,2,1,"Grappling, Berserking",any,"damage, control, counterattack",,Target,One adjacent enemy.,Effect,"Trigger: The enemy fails an Action while adjacent to you. Response: On success, deal 1 Bludgeoning Damage. You may spend 2 Combo after a hit to knock it Prone.",1,"On a hit, pull the target 1 unit.",2,Deal +1 Damage if the target is Prone.,,,
Bell Swallows the Hammer,physical,1,Prowess,Breaker,Vigor,Prowess,,2,1,"Brawling, Phalanx",any,"protection, control, support",,Target,Self or an adjacent willing ally.,Effect,Trigger: A melee Action would push or pull the target. Response (unopposed): Reduce that forced movement by 2 units.,1,The target also reduces Damage from that Action by 1.,2,"After the Action, move its attacker 1 unit away from the protected creature if adjacent to you; compare your Success Die to its Fortitude.",,,
Two Blades Make a Roof,physical,1,Prowess,Guard,Grace,Prowess,,2,1,"Dueling, Phalanx",any,"protection, support",,Target,Self or an adjacent willing ally.,Effect,"Trigger: An attack targets the creature, before its roll. Response (unopposed): Grant +1 Fortitude against that attack.",1,"After the attack, the protected creature may move 1 unit toward you.",2,"If the attack hits, reduce its Damage to that creature by 1.",,,
Thunder Returns to the Hill,physical,2,Prowess,Opener,Might,Prowess,Fortitude,3,2,"Berserking, Brawling",any,"damage, suppression, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: The enemy deals Damage to you with an Action. Response: After its Damage resolves, on success deal 2 weapon Damage to it.",1,"If hit, push it 1 unit.",2,"If hit, suppress one Light physical Wound Condition's numerical penalties on yourself until the start of your next turn.",,,
Cranes Trade the Watch,physical,2,Prowess,Guard,Vigor,Prowess,,3,2,"Phalanx, Skirmishing",any,"protection, support, mobility",,Target,One willing ally within 2 units.,Effect,"Trigger: An attack targets the ally, before its roll. Response (unopposed): Move into an empty space adjacent to it and take its place as the target, if the attacker can legally target you; gain +1 Fortitude against that attack.",1,The ally may move 1 unit away without triggering movement Reactions.,2,Reduce the attack's Damage to you by 1.,,,
Eel Loosens the Fisher's Knot,physical,2,Prowess,Breaker,Grace,Prowess,,3,1,"Grappling, Dueling",any,"protection, mobility, suppression",,Target,Self.,Effect,"Trigger: An Action or Reaction successfully restrains you or makes you Prone. Response (unopposed): Suppress that one effect until the Action finishes, then move 1 unit. End the effect if you leave its source's reach; otherwise it resumes.",1,Move 1 additional unit.,2,Reduce Damage from the triggering Action by 1.,,,
